Gene_Symbol	entrez_ID
CGA	1081
CEACAM3	1084
CEACAM7	1087
CEACAM8	1088
CEACAM4	1089
CHAD	1101
RCBTB2	1102
RCC1	1104
CHD2	1106
CHD3	1107
CHD4	1108
AKR1C4	1109
CHEK1	1111
FOXN3	1112
CHGA	1113
CHGB	1114
CHI3L1	1116
CHI3L2	1117
CHIT1	1118
CHKA	1119
CHKB	1120
CHM	1121
CHML	1122
CHN1	1123
CHN2	1124
CHRM1	1128
CHRM2	1129
LYST	1130
CHRM3	1131
CHRM5	1133
CHRNA1	1134
CHRNA2	1135
CHRNA3	1136
CHRNA4	1137
CHRNA5	1138
CHRNA7	1139
CHRNB1	1140
CHRNB2	1141
CHRNB3	1142
CHRNB4	1143
CHRND	1144
CHRNE	1145
CHRNG	1146
CHUK	1147
CIDEA	1149
CKB	1152
CIRBP	1153
CISH	1154
TBCB	1155
CKM	1158
CKMT2	1160
ERCC8	1161
CKS1B	1163
CKS2	1164
AP2M1	1173
AP1S1	1174
AP2S1	1175
AP3S1	1176
CLC	1178
CLCA1	1179
CLCN1	1180
CLCN2	1181
CLCN3	1182
CLCN4	1183
CLCN5	1184
CLCN6	1185
CLCN7	1186
CLCNKA	1187
CLCNKB	1188
CLU	1191
CLIC1	1192
CLIC2	1193
CLK1	1195
CLK2	1196
CLK2P1	1197
CLK3	1198
TPP1	1200
CLN3	1201
CLN5	1203
CLNS1A	1207
CLPS	1208
CLPTM1	1209
CLTA	1211
CLTB	1212
CLTC	1213
CMA1	1215
CCR1	1230
CCR3	1232
CCR4	1233
CCR5	1234
CCR6	1235
CCR7	1236
CCR8	1237
ACKR2	1238
CMKLR1	1240
LTB4R	1241
ABCC2	1244
CNGB1	1258
CNGA1	1259
CNGA3	1261
CNGA4	1262
PLK3	1263
CNN1	1264
CNN2	1265
CNN3	1266
CNP	1267
CNR1	1268
CNR2	1269
CNTF	1270
CNTFR	1271
CNTN1	1272
COL1A1	1277
COL1A2	1278
COL2A1	1280
COL3A1	1281
COL4A1	1282
COL4A2	1284
COL4A3	1285
COL4A4	1286
COL4A5	1287
COL4A6	1288
COL5A1	1289
COL5A2	1290
