,logFC,AveExpr,t,P.Value,adj.P.Val,B
RGS12,-0.062882972288703,7.30032731922706,-5.6470204168808,1.65251393064047e-08,4.84367863804227e-08,7.24433599986792
BDH2,0.0628469889168335,7.19530728790599,6.40372882647,1.54668948613519e-10,5.16042013279161e-10,11.7952285473484
GPX2,-0.0627987276997612,6.93650549127062,-11.4733535598915,2.19170449154033e-30,1.62517904154814e-29,56.9222337098817
TRIM56,0.06279252524325,7.12118176296251,6.77744196902387,1.25392998285664e-11,4.45489630173132e-11,14.2528156568383
TSC22D1,0.0627509665207668,8.32510649728233,3.71294059489531,0.000205372104493438,0.000419039453346346,-1.79569208253492
MDH1,-0.0627498126832422,7.88843580037578,-4.57296886043599,4.8346216878622e-06,1.16600760289881e-05,1.76375979558317
SRSF9,-0.0626895125039393,7.66957277575155,-4.81816738895714,1.45840769400058e-06,3.67500551418852e-06,2.91369022345251
NAA20,-0.062679052638106,7.61161982135586,-4.91786472516536,8.81194390343982e-07,2.24854101340339e-06,3.39838581316487
STRAP,-0.0626677612567181,7.5519066509802,-5.00129233097086,5.73821843800616e-07,1.49489606849911e-06,3.81159546577761
TCEA1,0.0626653146490597,7.82908205340063,4.5852824984852,4.55850347283921e-06,1.10270420708486e-05,1.8200789271712
PWWP2A,0.0626539149975318,7.22781671415212,6.06410585726591,1.34837590750713e-09,4.22617480268596e-09,9.68225400599493
MXD1,-0.0624912604904235,6.9612157962484,-10.1632856915818,3.27041608802626e-24,2.06106339426684e-23,42.8284125315763
MBNL2,0.0624521872947958,7.32832469464014,5.55547754279949,2.8003421310444e-08,8.05830539356167e-08,6.73242712959153
FBXO17,0.0624275672833789,7.0550501122496,7.77341383493642,7.97128047413872e-15,3.4179243730624e-14,21.4798859763737
C6orf132,-0.0624169095718441,7.2694977143626,-5.85077079342017,4.96182390449347e-09,1.50554450335311e-08,8.41365528646374
EMC9,-0.0623952809803159,6.96764978561115,-10.1910208006245,2.46085235194728e-24,1.55541264004801e-23,43.1100630052283
JTB,-0.0623767267807704,7.75588976789456,-4.73671170856998,2.18558692610317e-06,5.41663666699238e-06,2.52503258205383
VAMP5,0.0623676105738256,7.00035974815432,8.81561210752883,1.27626975976495e-18,6.54429838750211e-18,30.0955208362047
CENPH,-0.0623474213385844,7.0716572040891,-7.54430972802625,4.72183643347582e-14,1.93604276340232e-13,19.7302552838771
HSPB11,0.0623441827090838,7.37906434734369,5.3778022092602,7.61637203912111e-08,2.13192474480334e-07,5.76267690659194
IRS2,0.0623393231600751,7.10614576460367,6.98369235301871,2.9565118323653e-12,1.09176502044969e-11,15.6685755966434
CREG1,-0.0622636428149932,7.31689733373496,-5.6675755004815,1.46630993245792e-08,4.31353959202591e-08,7.36042717868538
UHMK1,0.0622619446908816,7.07714951923489,7.45303584444264,9.45592110971748e-14,3.79999912339548e-13,19.0477156084098
ACTL6A,-0.062214030043594,7.22086589277704,-6.15690415878857,7.54553276727838e-10,2.41173578216619e-09,10.2482112647253
CAPN1,0.0621838105011054,7.47945118254537,5.11178636087967,3.21778938936169e-07,8.5587108974137e-07,4.36953748514708
ARHGAP10,0.0620763054867999,7.05341203877949,7.79155199868848,6.90894471177878e-15,2.98020256880331e-14,21.620627974863
MXD3,-0.0620605095302893,6.87437463050801,-20.3607192014006,2.5550864972111e-91,4.94646385957095e-90,196.630898902304
SNRPD1,-0.0619737039604218,7.88930173328332,-4.52167509162065,6.16699230725599e-06,1.47034558476096e-05,1.53078282680052
CKAP4,-0.0619005777004198,7.10991497392527,-7.06810647978528,1.61720389500176e-12,6.0549162623517e-12,16.2602030494361
PCYOX1,0.0618947328499715,7.25450845646564,5.84174079033294,5.23803589435485e-09,1.58637658514747e-08,8.36095729172893
SMAD3,0.0618678401623423,7.1145088082687,6.90196874442654,5.26706413455539e-12,1.91977658929172e-11,15.1025474129996
STUB1,0.0618086973728171,7.44372666955012,5.17560187193337,2.29158606642456e-07,6.16877414883481e-07,4.69731630375321
STAT1,-0.0617636723330435,7.15617220901522,-5.92775864137066,3.11672918109525e-09,9.59655756426756e-09,8.86615901064121
LINC00969,-0.0617343782373769,7.22245693699572,-6.02209169786002,1.7488926471304e-09,5.45243001752419e-09,9.42883572561129
YIF1A,-0.0617159334702364,7.21469407962664,-6.21598888977927,5.1912322659575e-10,1.67414004148036e-09,10.6130196223677
SBF2-AS1,0.0616343067224199,6.9477241764853,10.5656995746132,4.96230896860158e-26,3.27077367899876e-25,46.9777075093581
MYO10,0.0616261359777954,7.15235152653549,6.44387573437662,1.18854966805662e-10,3.98607995521478e-10,12.0525843496097
RPL18,-0.0616124751719815,11.9614450913604,-10.8368538614281,2.69573965771339e-27,1.84061801761085e-26,49.864979801463
